"응답자특성별(1)",응답자특성별(2),응답자특성별(3),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"응답자특성별(1)",응답자특성별(2),응답자특성별(3),뉴스 보기,학업/업무용 검색 ,관심사(취미)검색,지도 및 네비게이션,게임 ,영화TV동영상 ,음악 ,라디오 팟캐스트,웹툰웹소설 도서 등,성인용 콘텐츠 ,사행성 게임(스포츠 배팅),이메일 ,메신저 ,SNS ,새로운 친구 만남,쇼핑(상품 서비스 구매),상품/서비스 판매 ,생활관리 ,건강관리,화상회의/원격근무,교육,사진(촬영 편집) 및 그림,여행,금융 거래(인터넷 뱅킹 등),투자 및 자산관리(주식 거래 제테크 등)
"전체",소계,소계,89.3,79.5,91.1,89.6,81.1,94.7,88.4,52.5,56.7,28.2,24.7,69.1,98.2,80.8,38.7,81.9,66.9,65.5,71.5,33.6,52.8,83.5,70.2,83.4,63.3
"스마트폰 과의존 수준별",과의존위험군,소계,88.9,87.6,92.6,89.9,90.1,96.7,91.6,59.5,71.5,35.2,31.4,78.2,97.9,88.0,51.0,85.6,75.2,72.7,72.0,43.9,66.0,88.7,75.1,83.2,66.7
"스마트폰 과의존 수준별",과의존위험군,고위험군,91.9,87.9,94.0,92.7,90.3,96.4,91.9,60.0,72.4,43.0,38.2,82.4,98.4,89.4,56.3,90.6,82.4,75.0,72.8,49.9,64.7,92.4,79.1,88.3,72.9
"스마트폰 과의존 수준별",과의존위험군,잠재적위험군,88.3,87.5,92.3,89.3,90.0,96.7,91.5,59.4,71.3,33.5,29.9,77.3,97.8,87.7,49.8,84.5,73.6,72.2,71.8,42.5,66.2,87.9,74.2,82.1,65.3
"스마트폰 과의존 수준별",일반사용자군,소계,89.5,77.1,90.7,89.6,78.5,94.1,87.4,50.3,52.3,26.1,22.6,66.4,98.2,78.7,35.0,80.9,64.4,63.3,71.3,30.5,48.8,81.9,68.7,83.5,62.2
"연령대별",유아동(만3~9세),소계,22.0,44.0,42.7,40.9,81.2,97.6,73.5,19.5,22.5,0.0,0.0,18.3,58.6,31.5,11.0,13.2,11.6,11.2,12.2,6.2,43.9,37.6,26.0,11.5,11.7
"연령대별",유아동(만3~9세),과의존위험군,21.5,42.9,45.4,40.5,75.0,97.3,64.1,15.3,20.6,0.0,0.0,16.5,55.8,30.7,9.3,10.9,9.5,7.4,8.1,3.2,41.8,38.2,29.7,9.2,6.3
"연령대별",유아동(만3~9세),일반사용자군,22.1,44.4,41.8,41.0,83.2,97.8,76.7,20.9,23.1,0.0,0.0,18.8,59.5,31.8,11.6,14.0,12.4,12.4,13.6,7.2,44.6,37.5,24.7,12.3,13.5
